name,database_id,degree_weighted,degree_total,betweenness_weighted,betweenness_unweighted,clustering_unweighted,clustering_weighted,connected_component
Ioanna Lytra,Ioanna Lytra,1,1,0.0,0.0,0.0,0.0,0
Aref El-Maarawi Tefur,Aref El-Maarawi Tefur,1,1,0.0,0.0,0.0,0.0,0
Viviane Jonckers,Viviane Jonckers,2,2,0.0,0.0,1.0,0.1306297048733754,1
Tristan Vanderbruggen,Tristan Vanderbruggen,5,5,0.0,0.0,1.0,0.055555555555555546,2
Martin Krulis,Martin Krulis,6,7,0.0,0.0,0.8,0.06517346577657093,0
Jan-Philipp Töberg,Jan-Philipp Töberg,5,10,0.0,0.0,1.0,0.1518805866788003,0
Kai Mindermann,Kai Mindermann,1,2,0.0,0.0,0.0,0.0,0
Saahil Ognawala,Saahil Ognawala,1,1,0.0,0.0,0.0,0.0,0
Mark Staples,Mark Staples,1,1,0.0,0.0,0.0,0.0,0
Alexandros Michailidis,Alexandros Michailidis,1,1,0.0,0.0,0.0,0.0,0
Souhaila Serbout,Souhaila Serbout,4,9,1.2562774565019826e-05,0.0,0.5,0.056799717684706486,0
Amine El Malki,Amine El Malki,1,1,0.0,0.0,0.0,0.0,0
Yue Li 0047,Yue Li 0047,1,1,0.0,0.0,0.0,0.0,0
Sebastian Götz,Sebastian Götz,1,1,0.0,0.0,0.0,0.0,0
Paulo Barbosa,Paulo Barbosa,1,1,0.0,0.0,0.0,0.0,0
Alexandre Sawczuk da Silva,Alexandre Sawczuk da Silva,4,4,0.0,0.0,1.0,0.057962231943471054,0
Martin Filipczyk,Martin Filipczyk,1,1,0.0,0.0,0.0,0.0,0
Tobias Boceck,Tobias Boceck,1,1,0.0,0.0,0.0,0.0,0
Thomas Alexander Völk,Thomas Alexander Völk,1,1,0.0,0.0,0.0,0.0,0
Amirali Amiri,Amirali Amiri,1,1,0.0,0.0,0.0,0.0,0
Bushra Sabir,Bushra Sabir,5,5,0.0,0.0,1.0,0.05881889473315666,0
Michael Goedicke,Michael Goedicke,1,2,0.0,0.0,0.0,0.0,0
Srdan Krstic,Srdan Krstic,1,1,0.0,0.0,0.0,0.0,0
Imad Berrouyne,Imad Berrouyne,1,1,0.0,0.0,0.0,0.0,0
Luis Corral,Luis Corral,1,1,0.0,0.0,0.0,0.0,0
Simon Harrer,Simon Harrer,1,1,0.0,0.0,0.0,0.0,0
Agneta Nilsson,Agneta Nilsson,1,1,0.0,0.0,0.0,0.0,0
Stephen John Warnett,Stephen John Warnett,2,5,0.0,0.0,1.0,0.16024995225637872,0
Ansar Rafique,Ansar Rafique,2,2,0.0,0.0,1.0,0.1306297048733754,1
Mateusz Ujma,Mateusz Ujma,1,1,0.0,0.0,0.0,0.0,0
Heiko Klare,Heiko Klare,3,3,0.0,0.0,1.0,0.0782218535290614,0
Lu Xiao 0001,Lu Xiao 0001,1,2,0.0,0.0,0.0,0.0,0
Thomas Hildebrandt,Thomas Hildebrandt,8,8,0.0,0.0,1.0,0.055555555555555566,3
Christoph Zorn,Christoph Zorn,1,1,0.0,0.0,0.0,0.0,0
Sahar Ahmadisakha,Sahar Ahmadisakha,1,2,0.0,0.0,0.0,0.0,0
Diego Pérez,Diego Pérez,2,2,0.0,0.0,1.0,0.10095114404622998,0
Faheem Ullah,Faheem Ullah,1,2,0.0,0.0,0.0,0.0,0
Wilhelm Meding,Wilhelm Meding,1,1,0.0,0.0,0.0,0.0,0
Christina Paule,Christina Paule,1,2,0.0,0.0,0.0,0.0,0
Alessandro Romanelli,Alessandro Romanelli,2,2,0.0,0.0,1.0,0.09499866370426094,0
Yoslandy Lazo,Yoslandy Lazo,1,1,0.0,0.0,0.0,0.0,0
Adrian Juan Verdejo,Adrian Juan Verdejo,4,8,0.0,0.0,1.0,0.15710690725502477,0
Erica Weilemann,Erica Weilemann,1,1,0.0,0.0,0.0,0.0,0
Emilia Cioroaica,Emilia Cioroaica,1,5,0.0,0.0,0.0,0.0,0
Alessandro Vittorio Papadopoulos,Alessandro Vittorio Papadopoulos,1,1,0.0,0.0,0.0,0.0,0
Flávio Oquendo,Flávio Oquendo,1,3,0.0,0.0,0.0,0.0,0
Ian Gorton,Ian Gorton,1,1,0.0,0.0,0.0,0.0,0
Mohamad Fazelnia,Mohamad Fazelnia,1,1,0.0,0.0,0.0,0.0,0
Rodrigo Falcão,Rodrigo Falcão,2,2,0.0,0.0,1.0,0.05555555555555555,0
Christos Sarikyriakidis,Christos Sarikyriakidis,1,1,0.0,0.0,0.0,0.0,0
Tobias Thirolf,Tobias Thirolf,4,4,0.0,0.0,1.0,0.1023006498612636,0
M. Alireza Hakamian,M. Alireza Hakamian,1,4,0.0,0.0,0.0,0.0,0
Maryam Razavian,Maryam Razavian,1,1,0.0,0.0,0.0,0.0,0
Teerat Pitakrat,Teerat Pitakrat,2,2,0.0,0.0,1.0,0.05555555555555555,0
Vanea Chiprianov,Vanea Chiprianov,1,1,0.0,0.0,0.0,0.0,0
David Gesvindr,David Gesvindr,1,4,0.0,0.0,0.0,0.0,0
Stanislav Chren,Stanislav Chren,1,3,0.0,0.0,0.0,0.0,0
Dominik Fuchss,Dominik Fuchss,1,1,0.0,0.0,0.0,0.0,0
Gabriele Bavota,Gabriele Bavota,1,3,0.0,0.0,0.0,0.0,0
Rajiv Ramdhany,Rajiv Ramdhany,1,1,0.0,0.0,0.0,0.0,0
Konstantin Aschbacher,Konstantin Aschbacher,3,3,0.0,0.0,1.0,0.05555555555555555,0
Jonas Schneider 0006,Jonas Schneider 0006,1,1,0.0,0.0,0.0,0.0,0
Uwe Breitenbücher,Uwe Breitenbücher,2,2,0.0,0.0,1.0,0.10095114404622998,0
Stephan Faßbender,Stephan Faßbender,1,1,0.0,0.0,0.0,0.0,0
Felix Willnecker,Felix Willnecker,2,2,0.0,0.0,1.0,0.05555555555555555,0
Sara Hashemi,Sara Hashemi,1,1,0.0,0.0,0.0,0.0,0
Héctor Cadavid,Héctor Cadavid,3,5,0.0,0.0,1.0,0.08370077962573604,0
Mark Klein 0003,Mark Klein 0003,1,1,0.0,0.0,0.0,0.0,0
Mohammad Ali 0002,Mohammad Ali 0002,1,1,0.0,0.0,0.0,0.0,0
Manuel Gotin,Manuel Gotin,1,1,0.0,0.0,0.0,0.0,0
Carlo Ghezzi,Carlo Ghezzi,1,1,0.0,0.0,0.0,0.0,0
Ondrej Gasior,Ondrej Gasior,1,2,0.0,0.0,0.0,0.0,0
Anthony Peruma,Anthony Peruma,2,2,0.0,0.0,1.0,0.10095114404622998,0
Oliver Kopp,Oliver Kopp,1,1,0.0,0.0,0.0,0.0,0
Gabriela Mystkowska,Gabriela Mystkowska,4,4,0.0,0.0,1.0,0.060994454184890724,0
Rakhshanda Jabeen,Rakhshanda Jabeen,2,2,0.0,0.0,1.0,0.14559674412271648,0
Roland Croft,Roland Croft,1,1,0.0,0.0,0.0,0.0,0
Jiri Havlik,Jiri Havlik,4,4,0.0,0.0,1.0,0.09897114976724364,0
Javier Cubo,Javier Cubo,2,2,0.0,0.0,1.0,0.10095114404622998,0
Rodrigo Pereira dos Santos,Rodrigo Pereira dos Santos,1,1,0.0,0.0,0.0,0.0,0
Marcello Visconti,Marcello Visconti,1,1,0.0,0.0,0.0,0.0,0
Gunter Saake,Gunter Saake,1,1,0.0,0.0,0.0,0.0,0
Moreno Marzolla,Moreno Marzolla,1,1,0.0,0.0,0.0,0.0,0
Leon Schaer,Leon Schaer,1,1,0.0,0.0,0.0,0.0,0
Miroslaw Ochodek,Miroslaw Ochodek,1,1,0.0,0.0,0.0,0.0,0
