name,database_id,degree_weighted,degree_total,betweenness_weighted,betweenness_unweighted,connected_component
Eric Knauss,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3254,24,32,0.004275931157436964,0.003403356420450551,0
Valentina Lenarduzzi,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4427,32,52,0.0024064746930427777,0.0033865031359177028,0
Ting Su 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:956,37,58,0.011662194323049819,0.003383476528187095,0
Ipek Ozkaya,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4322,19,26,0.0022964656365983397,0.00337604106174215,0
Bradley R. Schmerl,4:a207e2fc-2358-4733-aaec-376a2c17a19b:171,26,50,0.0008120987049646124,0.00336253515661611,0
Miroslaw Staron,4:a207e2fc-2358-4733-aaec-376a2c17a19b:276,35,45,0.0032059086710804615,0.0033578630811706926,0
Nobukazu Yoshioka,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6886,15,18,0.0033805439222815564,0.0033569594973549602,0
Denys Poshyvanyk,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1111,60,155,0.00855226040167775,0.0033226424120424407,0
Xusheng Xiao,4:a207e2fc-2358-4733-aaec-376a2c17a19b:969,36,44,0.0045951447074036485,0.0033217036987981115,0
Mojtaba Shahin,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1073,23,28,0.0029038689742529977,0.0032973795661799775,0
Chenguang Zhu 0002,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4800,24,32,0.0032532396271703614,0.0032920240045567328,0
Tomás Bures,4:a207e2fc-2358-4733-aaec-376a2c17a19b:996,39,89,0.012323367766448412,0.003282759541296174,0
Birgit Penzenstadler,4:a207e2fc-2358-4733-aaec-376a2c17a19b:232,14,31,0.004014286701276569,0.00327665595082167,0
Ivan Beschastnikh,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2240,28,28,0.0020695007902181363,0.0032623539109181937,0
Rui Abreu 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3399,28,34,0.0017416730976067428,0.0032366039276747697,0
Xing Hu 0008,4:a207e2fc-2358-4733-aaec-376a2c17a19b:241,47,81,0.00460898784522272,0.0032177643931645718,0
Ingo Weber,4:a207e2fc-2358-4733-aaec-376a2c17a19b:12064,24,38,0.001370116707765325,0.0032157753944605815,0
Barbara Paech,4:a207e2fc-2358-4733-aaec-376a2c17a19b:555,26,26,0.0010011652230278072,0.0031553940597263993,0
Rafael Capilla,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4424,19,26,0.0019156153994402028,0.003131063816768614,0
Yutong Zhao,4:a207e2fc-2358-4733-aaec-376a2c17a19b:549,15,24,0.0,0.0031195650037956937,0
Baishakhi Ray,4:a207e2fc-2358-4733-aaec-376a2c17a19b:223,40,55,0.003412458997869188,0.003114844030744524,0
Danny Dig,4:a207e2fc-2358-4733-aaec-376a2c17a19b:604,26,37,0.0019409350473448875,0.003114832943754765,0
Premkumar T. Devanbu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1800,26,33,0.0023073801810987405,0.003109481266459156,0
Kevin Moran,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1204,46,97,0.0016726759108526075,0.0031083263295042783,0
Leandro L. Minku,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4881,16,17,0.0011525184909903462,0.0031026140111752817,0
Charles Sutton,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3569,19,23,0.002608645417517801,0.003091154335408823,0
Norbert Seyff,4:a207e2fc-2358-4733-aaec-376a2c17a19b:237,16,33,0.0025426463820178474,0.0030542739347819573,0
Georgios Gousios,4:a207e2fc-2358-4733-aaec-376a2c17a19b:544,29,37,0.0030626183649029915,0.003052756890552451,0
Tien N. Nguyen,4:a207e2fc-2358-4733-aaec-376a2c17a19b:374,37,99,0.010435888298078929,0.003050487335334997,0
Abhik Roychoudhury,4:a207e2fc-2358-4733-aaec-376a2c17a19b:829,30,55,0.010434562186808315,0.003027794009358265,0
Rocco Oliveto,4:a207e2fc-2358-4733-aaec-376a2c17a19b:42,39,101,0.020370878086007023,0.0030270917501819634,0
