name,database_id,n_conferences,ICSA,ICSE,ECSA,total_pubs,degree_weighted,betweenness_unweighted,betweenness_weighted,clustering_unweighted,connected_component
Nabor C. Mendonça,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2159,3,2,1,5,8,16,0.0011400449950961,0.0013718235244954,0.2,0
Thomas Kuhn 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6096,3,6,4,9,19,31,0.0010964846022633,0.0020813572619056,0.1978494623655914,0
Antonio Martini 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1503,3,3,9,2,14,18,0.0010686212154687,0.0032522563316341,0.130718954248366,0
Thaís Batista,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7131,3,5,3,5,13,19,0.0010610663895344,0.00073949939066,0.2982456140350877,0
Roberto Verdecchia,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1990,3,4,6,6,16,16,0.0010322264933497,0.0040835410696913,0.2166666666666666,0
Patrizia Scandurra,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10716,3,5,1,8,14,21,0.0010246374679839,0.0015386388729056,0.2666666666666666,0
Marcello M. Bersani,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7306,3,2,3,2,7,21,0.0009936017903225,0.0008033007261156,0.3,0
Marion Wiese,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10719,3,2,1,1,4,9,0.0009503306470093,0.0008326483639045,0.25,0
J. Andres Diaz-Pace,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9467,3,4,1,3,8,12,0.000879268531415,0.0009277081234168,0.1363636363636363,0
Matteo G. Rossi,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3717,3,1,3,1,5,24,0.0008500649782252,0.000226624652359,0.4384057971014493,0
Matteo Camilli,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2459,3,2,2,5,9,14,0.0008446885027432,0.0012324945846555,0.3736263736263736,0
Stefan Biffl,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7855,3,1,5,1,7,15,0.0007880446399813,0.001187818979128,0.2857142857142857,0
Qinghua Lu 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:711,3,7,12,1,20,43,0.0007826999753563,0.0002677191332123,0.1583610188261351,0
Valdemar Vicente Graciano Neto,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7014,3,3,6,5,14,43,0.0007362668499829,0.0037409372861256,0.4197120708748615,0
Giuseppe Procaccianti,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1051,3,1,4,1,6,20,0.0007128013182876,0.000304338082264,0.2052631578947368,0
Claudia Raibulet,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10817,3,2,2,5,9,11,0.0006927748587994,0.0031902761203618,0.2,0
Jóakim von Kistowski,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10203,3,3,1,2,6,17,0.000691329372604,0.0007375409652298,0.2573529411764705,0
Laurence Duchien,4:a207e2fc-2358-4733-aaec-376a2c17a19b:442,3,1,2,2,5,13,0.0006862620515342,0.0005455842811107,0.1666666666666666,0
Johannes Grohmann,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6797,3,3,1,1,5,14,0.0006783130163262,0.0004694116279076,0.2857142857142857,0
Hye-Young Paik,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1522,3,4,1,2,7,16,0.0006781686455012,0.0028774247656216,0.275,0
Sébastien Gérard,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8362,3,2,1,1,4,15,0.0006752178272267,0.0006264480437618,0.238095238095238,0
Andrea Capiluppi,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3310,3,1,4,2,7,8,0.0006736007725209,0.0005012852788915,0.1785714285714285,0
Krzysztof Wnuk,4:a207e2fc-2358-4733-aaec-376a2c17a19b:304,3,1,3,1,5,6,0.0006396735382956,0.0006396735382956,0.1333333333333333,0
Philipp Haindl,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8565,3,1,1,1,3,6,0.0006396631890983,0.0006396631890983,0.2666666666666666,0
Mohammad Sharaf,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6416,3,2,1,13,16,15,0.0006050455093391,3.964691257070188e-05,0.2571428571428571,0
Antonio Cicchetti,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6205,3,2,1,2,5,16,0.0006035302857142,0.0004185043641363,0.2666666666666666,0
Gastón Márquez,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3389,3,2,3,3,8,12,0.0005978186854004,0.0008932918307061,0.3333333333333333,0
Anna Rita Fasolino,4:a207e2fc-2358-4733-aaec-376a2c17a19b:466,3,2,3,2,7,11,0.0005800368371506,0.0006571025311831,0.3818181818181818,0
Gilles Perrouin,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6384,3,1,5,2,8,13,0.0005564422719925,0.0010432800600033,0.4102564102564102,0
Darko Durisic,4:a207e2fc-2358-4733-aaec-376a2c17a19b:275,3,4,1,1,6,10,0.0005550184334945,0.0001253656056631,0.2888888888888888,0
Ina Schaefer,4:a207e2fc-2358-4733-aaec-376a2c17a19b:700,3,1,4,3,8,15,0.0005509365103263,0.0010581990088957,0.2095238095238095,0
Michael Wahler,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10231,3,2,1,1,4,9,0.0005047293439475,0.0005645805777987,0.3055555555555556,0
Paola Inverardi,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3160,3,1,5,3,9,14,0.0005037573334158,0.0004638860518166,0.3406593406593406,0
Sjaak Brinkkemper,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3037,3,2,4,1,7,16,0.0004915144372891,0.0006060207083367,0.275,0
Carlos E. Cuesta,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2095,3,2,2,2,6,12,0.0004873164331809,0.000671850876619,0.3333333333333333,0
Darío Correal,4:a207e2fc-2358-4733-aaec-376a2c17a19b:795,3,2,3,5,10,20,0.0004746936126219,0.0007133631647212,0.5210526315789473,0
Domenico Amalfitano,4:a207e2fc-2358-4733-aaec-376a2c17a19b:464,3,2,2,2,6,10,0.0004733883585773,0.0005504540526099,0.4666666666666667,0
Jamal El Hachem,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4285,3,1,2,1,4,8,0.0004587589499167,0.000287046410583,0.25,0
Marco Autili,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3412,3,2,4,1,7,16,0.0004395933218543,0.0005625835747275,0.3,0
Ilaria Pigazzini,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4426,3,1,2,4,7,14,0.000431838713514,5.845916603276968e-06,0.3186813186813186,0
Sebastian Hahner,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5165,3,5,3,4,12,28,0.0004152966249839,0.0005110995952142,0.455026455026455,0
Uwe Breitenbücher,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6318,3,1,1,2,4,12,0.0004133660430566,0.0011263544082478,0.4393939393939394,0
Sandro Speth,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3468,3,2,3,3,8,13,0.0004098226352486,0.0001436673451619,0.3333333333333333,0
Apostolos Ampatzoglou,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1586,3,1,4,1,6,16,0.0004000579817167,3.3979864594758737e-07,0.3083333333333333,0
Joanna C. S. Santos,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3623,3,4,2,1,7,14,0.0003877938390561,0.0003237918873973,0.2307692307692307,0
Mahyar Tourchi Moghaddam,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1324,3,2,2,4,8,11,0.0003749095629521,0.0011827804410919,0.2727272727272727,0
Alfredo Goldman,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7615,3,1,3,2,6,12,0.000350670790032,0.0004503712814217,0.2727272727272727,0
Andreas Morgenstern,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6098,3,2,1,3,6,17,0.0003458490204435,1.405765971813623e-07,0.375,0
Cláudia M. L. Werner,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1024,3,1,4,1,6,11,0.0003303417818629,0.0003519968998772,0.4181818181818181,0
Vasilios Andrikopoulos,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10081,3,2,1,3,6,8,0.0003238839761173,0.0004031993442614,0.2142857142857142,0
Hans Hansson,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2517,3,1,1,1,3,6,0.0003198833405358,0.0003198833405358,0.4,0
Helena Holmström Olsson,4:a207e2fc-2358-4733-aaec-376a2c17a19b:462,3,1,5,1,7,12,0.0003097545122975,3.5698077762411035e-05,0.3636363636363636,0
Tao Yue 0002,4:a207e2fc-2358-4733-aaec-376a2c17a19b:533,3,1,8,1,10,23,0.0002982356894624,0.0003073895184584,0.2134387351778656,0
Petr Hnetynka,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2951,3,4,4,10,18,25,0.0002804946395733,0.0079233929161807,0.26,0
Aldeida Aleti,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6241,3,1,2,1,4,9,0.0002667620452249,0.0001726491539885,0.3333333333333333,0
Xiaozhou Li 0002,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10000,3,2,2,2,6,16,0.0002633531987315,0.0001234088416301,0.45,0
Fahed Alkhabbas,4:a207e2fc-2358-4733-aaec-376a2c17a19b:731,3,5,2,2,9,13,0.0002490261941804,0.0002215607070314,0.3717948717948718,0
Matthias Naab,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2433,3,3,2,3,8,9,0.0002487420955978,0.0009593033234967,0.5,0
Fabian Gilson,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9752,3,3,1,1,5,6,0.0002342046765689,0.0002132814333505,0.2666666666666666,0
Marc Hesenius,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2644,3,3,4,2,9,17,0.0002206703974207,1.138411707235572e-07,0.2573529411764705,0
Boris Pérez,4:a207e2fc-2358-4733-aaec-376a2c17a19b:794,3,1,3,2,6,17,0.0002163425556475,1.9953287534602e-05,0.7132352941176471,0
Johannes Sametinger,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10412,3,1,1,1,3,10,0.0001981562806334,0.0001313475787691,0.4888888888888889,0
Florian Matthes,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5005,3,4,2,4,10,11,0.0001972163743219,0.0005861562864786,0.509090909090909,0
Manoj Bhat,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7323,3,5,1,4,10,11,0.0001972163743219,7.606660043801322e-08,0.509090909090909,0
Tobias Olsson,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7498,3,1,2,12,15,5,0.0001916540075485,0.0003207697492879,0.4,0
Felipe Restrepo-Calle,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11381,3,1,1,1,3,7,0.0001837321354236,0.0002089976172012,0.4285714285714285,0
Elvinia Riccobene,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10715,3,2,1,7,10,13,0.000175807660911,0.0002189574650047,0.5384615384615384,0
Katja Tuma,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1803,3,1,3,2,6,9,0.0001668775269648,0.0005192404463273,0.25,0
Koen Yskout,4:a207e2fc-2358-4733-aaec-376a2c17a19b:27,3,2,9,1,12,8,0.0001507938422538,0.0001064363200278,0.6071428571428571,0
Paul Davidsson,4:a207e2fc-2358-4733-aaec-376a2c17a19b:733,3,4,1,2,7,10,0.0001469861201719,8.342674835076536e-06,0.5111111111111111,0
Riccardo Roveda,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6902,3,1,1,2,4,10,0.0001438387187486,4.018938299786186e-07,0.4444444444444444,0
Michele Guerriero,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7821,3,1,4,1,6,14,0.0001409447609802,2.493639098712828e-06,0.4505494505494505,0
Thomas Weber 0006,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6512,3,3,1,1,5,16,0.0001155569878385,8.413897436204728e-06,0.4,0
Camilo Castellanos,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5350,3,1,2,4,7,17,0.0001107136364131,7.971001293146331e-05,0.7132352941176471,0
Ken Power,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5266,3,1,1,2,4,2,0.0001066484785732,0.0001066484785732,0.0,0
