name,database_id,degree_weighted,betweenness_unweighted,clustering_unweighted,k_shell,role
Juliano Marinho Ribeiro,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6235,3,0.0,1.0,3,core
Julie Dugdale,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1755,3,0.0,1.0,3,core
Julie Marie Gjøby,4:a207e2fc-2358-4733-aaec-376a2c17a19b:12907,3,0.0,1.0,3,core
Julie Michielin,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5768,3,0.0,1.0,3,core
Julien Cretin,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2080,11,0.0,1.0,11,core
Julien Delange,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4184,2,0.0,1.0,2,peripheral
Julien Delplanque,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11931,4,0.0,1.0,4,core
Julien Gascon-Samson,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9952,4,0.0,1.0,4,core
Julien Gerding,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6517,3,0.0,1.0,3,core
Julien Lange,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7223,3,0.0,1.0,3,core
Julien Malka,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4911,2,0.0,1.0,2,peripheral
Julien Rinaldini,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5766,3,0.0,1.0,3,core
Julio Ariel Hurtado,4:a207e2fc-2358-4733-aaec-376a2c17a19b:13365,4,0.0,1.0,4,core
Julio Ariel Hurtado Alegria,4:a207e2fc-2358-4733-aaec-376a2c17a19b:403,2,0.0,1.0,2,peripheral
Julio Cezar Costa Furtado,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10954,1,0.0,0.0,1,broker
Julio César Cortés Ríos,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7439,6,0.0,1.0,6,core
Julius Ollesch,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7806,3,0.0,1.0,3,core
Jun Jin 0002,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8758,5,0.0,1.0,5,core
Jun Liu 0002,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2680,6,0.0,1.0,6,core
Jun Ma 0015,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4436,8,0.0,1.0,8,core
Jun Qian,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1248,6,0.0,1.0,6,core
Jun Wang 0151,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8342,5,0.0,1.0,5,core
Jun Wu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9134,3,0.0,1.0,3,core
Jun Zeng 0006,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11248,3,0.0,1.0,3,core
Jun-Wei Lin,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9998,3,0.0,1.0,3,core
Junaed Younus Khan,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11410,2,0.0,1.0,2,peripheral
June Andronick,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7919,5,0.0,1.0,5,core
June Sallou,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6379,2,0.0,1.0,2,peripheral
June Sung Park,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7240,0,0.0,0.0,0,broker
Juneyoung Lee,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1516,4,0.0,1.0,4,core
Junfeng Guo,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11090,7,0.0,1.0,7,core
Junfeng Sun,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3563,3,0.0,1.0,3,core
Junfeng Yang,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8155,6,0.0,1.0,6,core
Junfeng Zhao 0005,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11071,2,0.0,1.0,2,peripheral
Jung-Hyun Kwon,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8875,2,0.0,1.0,2,peripheral
Jungho Kim,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8810,4,0.0,1.0,4,core
Junhee Cho,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8925,4,0.0,1.0,4,core
Junho Kim,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3950,7,0.0,1.0,7,core
Junhua Ding,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5326,3,0.0,1.0,3,core
Junhui Zhang,4:a207e2fc-2358-4733-aaec-376a2c17a19b:12390,8,0.0,1.0,8,core
Junhwi Kim,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8806,2,0.0,1.0,2,peripheral
Junji Shimagaki,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6749,4,0.0,1.0,4,core
Junjia Chen,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11483,5,0.0,1.0,5,core
Junjie Li,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10594,0,0.0,0.0,0,broker
Junjie Shen 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7561,5,0.0,1.0,5,core
Junjie Sheng,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9475,6,0.0,1.0,6,core
Junjie Zhu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:720,2,0.0,1.0,2,peripheral
Junki Baek,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6077,3,0.0,1.0,3,core
Junming Cao,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7031,6,0.0,1.0,6,core
Junming Qiu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10687,5,0.0,1.0,5,core
Junqi Yan,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1952,4,0.0,1.0,4,core
Junqian Shao,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9855,9,0.0,1.0,9,core
Junqiang Li,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4969,6,0.0,1.0,6,core
Juntao Gao,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6303,2,0.0,1.0,2,peripheral
Junwei Liu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11084,9,0.0,1.0,9,core
Junwei Quan,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10852,4,0.0,1.0,4,core
Junwei Zhang,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11079,4,0.0,1.0,4,core
Junxiao Han,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2639,5,0.0,1.0,5,core
Junyan Ma,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11210,2,0.0,1.0,2,peripheral
Junye Wen,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1569,2,0.0,1.0,2,peripheral
Junyoung Jang 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7535,37,0.0,1.0,37,core
Juraj Feljan,4:a207e2fc-2358-4733-aaec-376a2c17a19b:12132,5,0.0,1.0,5,core
Juraj Kubelka,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3083,3,0.0,1.0,3,core
Jurgen J. Vinju,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9666,2,0.0,1.0,2,peripheral
Jussi Nupponen,4:a207e2fc-2358-4733-aaec-376a2c17a19b:13412,1,0.0,0.0,1,broker
Justin Del Vecchio,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5480,2,0.0,1.0,2,peripheral
Justin Jose,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7830,3,0.0,1.0,3,core
Justin Lipman,4:a207e2fc-2358-4733-aaec-376a2c17a19b:12676,5,0.0,1.0,5,core
Justin Lubin,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1735,3,0.0,1.0,3,core
Justin Wang,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9445,7,0.0,1.0,7,core
Justine Nakirijja,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8730,1,0.0,0.0,1,broker
Juyoung Jeon,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6720,1,0.0,0.0,1,broker
Jyothi Vedurada,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5896,1,0.0,0.0,1,broker
