name,conference,year,role
Muhammad Ali Babar 0001,icsa,2019,broker
Patricia Lago,icsa,2019,broker
Roberto Verdecchia,icsa,2019,broker
Stefan Wagner 0001,icsa,2019,broker
Alfred Zimmermann,icsa,2019,broker
Justus Bogner,icsa,2019,broker
Rogardt Heldal,icsa,2019,broker
Rebekka Wohlrab,icsa,2019,broker
Patrizio Pelliccione,icsa,2019,broker
Dimitri Van Landuyt,icsa,2019,core
Ole Meyer,icsa,2019,core
Michel Wermelinger,icsa,2019,core
Uwe Mayer,icsa,2019,core
Chenxing Zhong,icsa,2019,core
Uwe Zdun,icsa,2019,core
Robert Heinrich,icsa,2019,core
Vittorio Cortellessa,icsa,2019,core
Michael Colesky,icsa,2019,core
Christian Decker 0003,icsa,2019,broker
Philippe Kruchten,icsa,2019,core
Jan Bosch,icsa,2019,core
Carlos E. Cuesta,icsa,2019,core
Cheng Zhang 0010,icsa,2019,core
Radu Calinescu,icsa,2019,core
Thomas F. Düllmann,icsa,2019,core
Christopher Gerking,icsa,2019,broker
Markus Frank,icsa,2019,core
Paolo Arcaini,icsa,2019,core
Maik Wojcieszak,icsa,2019,core
Pim De Jong,icsa,2019,core
Christof Tinnes,icsa,2019,core
Dominik Ernst,icsa,2019,core
Tjerk Bijlsma,icsa,2019,core
André van Hoorn,icsa,2019,core
Samuel Kounev,icsa,2019,core
Fawaz Alhenaki,icsa,2019,core
Laurens Sion,icsa,2019,core
Karthik Vaidhyanathan,icsa,2019,broker
Davide Arcelli,icsa,2019,core
Varun Kumar,icsa,2019,core
Katja Tuma,icsa,2019,core
Alejandro J. Bianchi,icsa,2019,broker
Dalila Tamzalit,icsa,2019,broker
Torvald Mårtensson,icsa,2019,core
Sabine Sachweh,icsa,2019,core
Reinhold Plösch,icsa,2019,broker
Neil A. Ernst,icsa,2019,core
Patricia Aluko Obe,icsa,2019,core
Qinghua Lu 0001,icsa,2019,core
Rich Hilliard,icsa,2019,core
Darko Durisic,icsa,2019,broker
Wilhelm Hasselbring,icsa,2019,core
Claas Rink,icsa,2019,core
Dominik Fuchss,icsa,2019,core
Philipp Obergfell,icsa,2019,core
Riccardo Scandariato,icsa,2019,core
Rick Kazman,icsa,2019,core
Antonio Martini 0001,icsa,2019,core
Romina Eramo,icsa,2019,core
Floriment Klinaku,icsa,2019,core
Ramin Tavakoli Kolagari,icsa,2019,core
Katerina Demetzou,icsa,2019,core
Pierre Dewitte,icsa,2019,core
Matthias Popp,icsa,2019,core
He Zhang 0001,icsa,2019,core
Erik J. Luit,icsa,2019,broker
Christian Berger 0001,icsa,2019,core
Thaís Batista,icsa,2019,core
Alexander Witton,icsa,2019,core
Markus Strazds,icsa,2019,core
Armin Moebius,icsa,2019,core
Andreas Vogelsang,icsa,2019,core
Jeroen Redegeld,icsa,2019,core
Hernán Astudillo,icsa,2019,core
Paris Avgeriou,icsa,2019,core
Christoph Segler,icsa,2019,core
Jóakim von Kistowski,icsa,2019,core
Simos Gerasimou,icsa,2019,core
Eduardo Silva 0001,icsa,2019,core
Manuel Gotin,icsa,2019,core
Lidiane Oliveira dos Santos,icsa,2019,core
Klaus Schmid,icsa,2019,core
Michele Tucci 0001,icsa,2019,core
Matthias Riebisch,icsa,2019,core
Birthe Böhm,icsa,2019,core
Raffaela Mirandola,icsa,2019,core
Aurelien Monot,icsa,2019,core
Ingo Weber,icsa,2019,core
Zijia Jia,icsa,2019,core
Fangchao Tian,icsa,2019,core
Thomas Richter,icsa,2019,core
Attila Berenyi,icsa,2019,broker
Yuting Fu,icsa,2019,core
Tomás Bures,icsa,2019,core
Jürgen Walter,icsa,2019,core
Marek Górski,icsa,2019,core
M. Alireza Hakamian,icsa,2019,core
Alexander Knapp,icsa,2019,broker
Tobias Wägemann,icsa,2019,core
Georgia Giannopoulou,icsa,2019,core
