name_a,name_b,canonical_a,canonical_b,fuzzy_ratio,n_shared_coauthors,shared_coauthors
Eduardo Figueiredo 0001,Eduardo Magno Lages Figueiredo,eduardo figueiredo,eduardo figueiredo,1.0,0,
Jan Bækgaard Pedersen,Jan Pedersen 0001,jan pedersen,jan pedersen,1.0,0,
Diego Costa 0001,Diego Elias Costa,diego costa,diego costa,1.0,0,
Heitor A. X. Costa,Heitor Augustus Xavier Costa,heitor costa,heitor costa,1.0,0,
Hermano P. de Moura,Hermano Perrelli de Moura,hermano moura,hermano moura,1.0,0,
Maria Gómez,María Gómez 0001,maria gomez,maria gomez,1.0,0,
Carolyn B. Seaman,Carolyn Seaman,carolyn seaman,carolyn seaman,1.0,0,
Dor D. Ma'ayan,Dor Ma'ayan,dor ma'ayan,dor ma'ayan,1.0,0,
Márcio E. Delamaro,Márcio Eduardo Delamaro,marcio delamaro,marcio delamaro,1.0,0,
Thomas Hildebrandt,Thomas T. Hildebrandt,thomas hildebrandt,thomas hildebrandt,1.0,0,
William J. Martin,William Martin 0005,william martin,william martin,1.0,0,
Carla I. M. Bezerra,Carla Ilane Moreira Bezerra,carla bezerra,carla bezerra,1.0,0,
Razieh L. Saremi,Razieh Lotfalian Saremi,razieh saremi,razieh saremi,1.0,0,
Filipe F. Correia,Filipe Figueiredo Correia,filipe correia,filipe correia,1.0,0,
Heinz Schmidt,Heinz W. Schmidt,heinz schmidt,heinz schmidt,1.0,0,
Toby C. Murray,Toby Murray,toby murray,toby murray,1.0,0,
Thomas Kuhn 0001,Thomas Kühn 0001,thomas kuhn,thomas kuhn,1.0,0,
Md. Mehedi Hasan,Md. Tanvir Hasan,md. hasan,md. hasan,1.0,0,
Patrícia G. F. Matsubara,Patrícia Gomes Fernandes Matsubara,patricia matsubara,patricia matsubara,1.0,0,
Eduardo Guerra 0001,Eduardo Martins Guerra,eduardo guerra,eduardo guerra,1.0,0,
Luiz Pedro Franciscatto Guerra,Luiz Pedro Guerra,luiz guerra,luiz guerra,1.0,0,
Fatemeh H. Fard,Fatemeh Hendijani Fard,fatemeh fard,fatemeh fard,1.0,0,
Paul Anderson 0001,Paul V. Anderson,paul anderson,paul anderson,1.0,0,
Vânia Neves,Vânia de Oliveira Neves,vania neves,vania neves,1.0,0,
Mircea Filip Lungu,Mircea Lungu,mircea lungu,mircea lungu,1.0,0,
Aditya Mathur,Aditya P. Mathur,aditya mathur,aditya mathur,1.0,0,
Breno B. N. de França,Breno Bernard Nicolau de França,breno franca,breno franca,1.0,0,
Breno B. N. de França,Breno de França,breno franca,breno franca,1.0,0,
Breno Bernard Nicolau de França,Breno de França,breno franca,breno franca,1.0,0,
Bruno B. P. Cafeo,Bruno Barbieri Pontes Cafeo,bruno cafeo,bruno cafeo,1.0,0,
Markus Alexander Kuppe,Markus Kuppe 0001,markus kuppe,markus kuppe,1.0,0,
Stephen Fink,Stephen J. Fink,stephen fink,stephen fink,1.0,0,
Davide G. Cavezza,Davide Giacomo Cavezza,davide cavezza,davide cavezza,1.0,0,
Ana Allian,Ana Paula Allian,ana allian,ana allian,1.0,0,
Flávio E. A. Horita,Flávio Eduardo Aoki Horita,flavio horita,flavio horita,1.0,0,
Marcel Oliveira,Marcela P. Oliveira,marcel oliveira,marcela oliveira,0.968,0,
Cheng-Gang Bai,Chenggang Bai,cheng-gang bai,chenggang bai,0.963,0,
Heqing Huang 0002,Zheqing Huang,heqing huang,zheqing huang,0.96,0,
Haibin Zheng,Haibing Zheng,haibin zheng,haibing zheng,0.96,0,
Sathish Kumar,Satish Kumar,sathish kumar,satish kumar,0.96,0,
Tae-young Kim,Taeyoung Kim,tae-young kim,taeyoung kim,0.96,0,
Andre Arcuri,Andrea Arcuri,andre arcuri,andrea arcuri,0.96,0,
Michael Young,Michal Young,michael young,michal young,0.96,0,
