name_a,name_b,canonical_a,canonical_b,fuzzy_ratio,n_shared_coauthors,shared_coauthors
Md. Mehedi Hasan,Md. Tanvir Hasan,md. hasan,md. hasan,1.0,0,
Patrícia G. F. Matsubara,Patrícia Gomes Fernandes Matsubara,patricia matsubara,patricia matsubara,1.0,0,
Eduardo Guerra 0001,Eduardo Martins Guerra,eduardo guerra,eduardo guerra,1.0,0,
Luiz Pedro Franciscatto Guerra,Luiz Pedro Guerra,luiz guerra,luiz guerra,1.0,0,
Fatemeh H. Fard,Fatemeh Hendijani Fard,fatemeh fard,fatemeh fard,1.0,0,
Paul Anderson 0001,Paul V. Anderson,paul anderson,paul anderson,1.0,0,
Vânia Neves,Vânia de Oliveira Neves,vania neves,vania neves,1.0,0,
Mircea Filip Lungu,Mircea Lungu,mircea lungu,mircea lungu,1.0,0,
Aditya Mathur,Aditya P. Mathur,aditya mathur,aditya mathur,1.0,0,
Breno B. N. de França,Breno Bernard Nicolau de França,breno franca,breno franca,1.0,0,
Breno B. N. de França,Breno de França,breno franca,breno franca,1.0,0,
Breno Bernard Nicolau de França,Breno de França,breno franca,breno franca,1.0,0,
Bruno B. P. Cafeo,Bruno Barbieri Pontes Cafeo,bruno cafeo,bruno cafeo,1.0,0,
Markus Alexander Kuppe,Markus Kuppe 0001,markus kuppe,markus kuppe,1.0,0,
Stephen Fink,Stephen J. Fink,stephen fink,stephen fink,1.0,0,
Davide G. Cavezza,Davide Giacomo Cavezza,davide cavezza,davide cavezza,1.0,0,
Ana Allian,Ana Paula Allian,ana allian,ana allian,1.0,0,
Flávio E. A. Horita,Flávio Eduardo Aoki Horita,flavio horita,flavio horita,1.0,0,
Ken-ichi Matsumoto,Kenichi Matsumoto,ken-ichi matsumoto,kenichi matsumoto,0.971,5,Ahmed E. Hassan; Akinori Ihara; Chakkrit Tantithamthavorn; Hideaki Hata; Shane McIntosh
Dimitrios S. Kolovos,Dimitris S. Kolovos,dimitrios kolovos,dimitris kolovos,0.97,1,Richard F. Paige
Marcel Oliveira,Marcela P. Oliveira,marcel oliveira,marcela oliveira,0.968,0,
Steve Versteeg,Steven Versteeg,steve versteeg,steven versteeg,0.966,3,Jean-Guy Schneider; Jun Han; Miao Du
Jane Wyngaard,Janet Wyngaard,jane wyngaard,janet wyngaard,0.963,2,Jane Cleland-Huang; Michael Vierhauser
Stefen Becker,Steffen Becker 0001,stefen becker,steffen becker,0.963,1,Markus Frank
Cheng-Gang Bai,Chenggang Bai,cheng-gang bai,chenggang bai,0.963,0,
Qanjun Zhang,Quanjun Zhang,qanjun zhang,quanjun zhang,0.96,3,Chunrong Fang; Jiawei Liu; Xufan Zhang
Jia-Guang Sun 0001,Jiaguang Sun 0001,jia-guang sun,jiaguang sun,0.96,2,Han Liu; Yu Jiang
Juergen Musil,Jürgen Musil,juergen musil,jurgen musil,0.96,2,Angelika Musil; Stefan Biffl
Muhammad Ashfakur Rahman Arju,Muhmmad Ashfakur Rahman Arju,muhammad arju,muhmmad arju,0.96,2,Amr S. Abdelfattah; Tomás Cerný
Chunyang Chen 0001,Chuyang Chen 0001,chunyang chen,chuyang chen,0.96,1,Ting Su
Guenther Ruhe,Günther Ruhe,guenther ruhe,gunther ruhe,0.96,1,Zahra Shakeri Hossein Abad
Heqing Huang 0002,Zheqing Huang,heqing huang,zheqing huang,0.96,0,
Haibin Zheng,Haibing Zheng,haibin zheng,haibing zheng,0.96,0,
Sathish Kumar,Satish Kumar,sathish kumar,satish kumar,0.96,0,
Tae-young Kim,Taeyoung Kim,tae-young kim,taeyoung kim,0.96,0,
Andre Arcuri,Andrea Arcuri,andre arcuri,andrea arcuri,0.96,0,
Michael Young,Michal Young,michael young,michal young,0.96,0,
Xinyue Zhang,Xiyue Zhang 0001,xinyue zhang,xiyue zhang,0.957,0,
Yichen Wang,Yicheng Wang,yichen wang,yicheng wang,0.957,0,
Yichen Wang 0004,Yicheng Wang,yichen wang,yicheng wang,0.957,0,
Zhengxian Li,Zhengxin Li,zhengxian li,zhengxin li,0.957,0,
Marcio N. P. Silva,Marco Aurélio Graciotto Silva,marcio silva,marco silva,0.957,0,
Hongyan Gao,Hongyang Gao,hongyan gao,hongyang gao,0.957,0,
Hoan Anh Nguyen,Hoang H. Nguyen,hoan nguyen,hoang nguyen,0.957,0,
Hoan Anh Nguyen,Hoang Lam Nguyen,hoan nguyen,hoang nguyen,0.957,0,
Hoan Nguyen,Hoang H. Nguyen,hoan nguyen,hoang nguyen,0.957,0,
Hoan Nguyen,Hoang Lam Nguyen,hoan nguyen,hoang nguyen,0.957,0,
Thien Nguyen 0001,Tien N. Nguyen,thien nguyen,tien nguyen,0.957,0,
Mohamed Ali,Mohammed Fahad Ali,mohamed ali,mohammed ali,0.957,0,
Aakash Ahmad,Akash Ahmad,aakash ahmad,akash ahmad,0.957,0,
Yanli Wang 0001,Yanlin Wang 0001,yanli wang,yanlin wang,0.952,5,Daya Guo; Jiachi Chen; Ruikai Zhang; Yuchi Ma; Zibin Zheng
Chen Zhang,Cheng Zhang,chen zhang,cheng zhang,0.952,0,
Chen Zhang,Cheng Zhang 0010,chen zhang,cheng zhang,0.952,0,
Hang Zhang 0012,Zhang Zhang 0005,hang zhang,zhang zhang,0.952,0,
Xiyu Zhang 0002,Xiyue Zhang 0001,xiyu zhang,xiyue zhang,0.952,0,
Zhiyi Zhang 0004,Ziyi Zhang,zhiyi zhang,ziyi zhang,0.952,0,
Yuan Huang 0002,Yutan Huang,yuan huang,yutan huang,0.952,0,
Shuang Liu 0007,Shuyang Liu,shuang liu,shuyang liu,0.952,0,
Xingyu Wang,Xinyu Wang 0001,xingyu wang,xinyu wang,0.952,0,
Xingyu Wang,Xinyu Wang 0006,xingyu wang,xinyu wang,0.952,0,
Zheming Li,Zhenming Li,zheming li,zhenming li,0.952,0,
Zhengxi Li,Zhengxin Li,zhengxi li,zhengxin li,0.952,0,
Md Mahbubur Rahman,Md. Masudur Rahman 0001,md rahman,md. rahman,0.947,2,Baishakhi Ray; Saikat Chakraborty
Cen Zhang,Chen Zhang,cen zhang,chen zhang,0.947,1,Xin Peng
Md Mahbubur Rahman,Md. Rayhanur Rahman,md rahman,md. rahman,0.947,0,
Md Mahbubur Rahman,Md. Rezaur Rahman,md rahman,md. rahman,0.947,0,
Chaohua Wu,Haohua Wu,chaohua wu,haohua wu,0.947,0,
Lin Jiang,Ling Jiang,lin jiang,ling jiang,0.947,0,
Lin Jiang 0002,Ling Jiang,lin jiang,ling jiang,0.947,0,
Jingwei Xu 0001,Jinwei Xu,jingwei xu,jinwei xu,0.947,0,
Liang Xiao 0004,Ling Xiao,liang xiao,ling xiao,0.947,0,
Chao Zhang 0008,Hao Zhang 0008,chao zhang,hao zhang,0.947,0,
Chao Zhang 0008,Hao Zhang 0085,chao zhang,hao zhang,0.947,0,
Hao Zhang 0008,Zhao Zhang,hao zhang,zhao zhang,0.947,0,
Hao Zhang 0085,Zhao Zhang,hao zhang,zhao zhang,0.947,0,
Jian Zhang,Jin Zhang 0003,jian zhang,jin zhang,0.947,0,
Jian Zhang 0001,Jin Zhang 0003,jian zhang,jin zhang,0.947,0,
Jian Zhang 0016,Jin Zhang 0003,jian zhang,jin zhang,0.947,0,
Jian Zhang 0087,Jin Zhang 0003,jian zhang,jin zhang,0.947,0,
Xin Zhang,Xing Zhang,xin zhang,xing zhang,0.947,0,
Xin Zhang 0035,Xing Zhang,xin zhang,xing zhang,0.947,0,
Yan Zhang,Yang Zhang,yan zhang,yang zhang,0.947,0,
Yan Zhang,Yang Zhang 0021,yan zhang,yang zhang,0.947,0,
Yan Zhang,Yang Zhang 0026,yan zhang,yang zhang,0.947,0,
Yan Zhang,Yang Zhang 0037,yan zhang,yang zhang,0.947,0,
Yan Zhang,Yuan Zhang 0009,yan zhang,yuan zhang,0.947,0,
Yuan Zhang 0009,Yun Zhang 0011,yuan zhang,yun zhang,0.947,0,
Yue Zhang 0025,Yule Zhang,yue zhang,yule zhang,0.947,0,
Yue Zhang 0051,Yule Zhang,yue zhang,yule zhang,0.947,0,
Xinyu Liu,Xinyue Liu 0005,xinyu liu,xinyue liu,0.947,0,
Chong Wang,Cong Wang 0020,chong wang,cong wang,0.947,0,
Chong Wang 0013,Cong Wang 0020,chong wang,cong wang,0.947,0,
Jian Wang 0067,Jiang Wang,jian wang,jiang wang,0.947,0,
Jiang Wang,Jing Wang,jiang wang,jing wang,0.947,0,
Xiao Wang 0030,Xizao Wang,xiao wang,xizao wang,0.947,0,
